USAF,STATION NAME,CTRY,STATE,LAT,LON
13060,HELLISOY FYR,NO,,+60.750,+004.717
13070,FEDJE,NO,,+60.750,+004.717
13080,FURUNESET,NO,,+61.300,+005.050
13090,KINN ISLAND,NO,,+61.567,+004.800
13100,FLORO,NO,,+61.584,+005.025
13110,FLESLAND,NO,,+60.293,+005.218
13140,FOSSMARK,NO,,+60.517,+005.717
13150,EVANGER,NO,,+60.633,+006.100
13160,BERGEN-FREDRIKSBERG,NO,,+60.400,+005.317
13161,BERGEN-FREDRIKSBER,NO,,+60.400,+005.317
13170,BERGEN/FLORIDA,NO,,+60.383,+005.333
13180,SANDANE,NO,,+61.783,+006.183
13190,TAKLE,NO,,+61.033,+005.383
13200,SANDANE/ANDA,NO,,+61.833,+006.117
13210,STRYN,NO,,+61.900,+006.550
13211,DOMBESTEIN,NO,,+61.883,+005.650
13220,FORDE-TEFRE,NO,,+61.467,+005.917
13230,BRINGELAND,NO,,+61.393,+005.764
13250,MODALEN II,NO,,+60.833,+005.950
13260,MODALEN III,NO,,+60.850,+005.983
13270,KVAMSKOGEN-JONSHOGDI,NO,,+60.383,+005.967
13280,KVAMSKOGEN,NO,,+60.400,+005.917
13290,KVAMSOY,NO,,+60.350,+006.267
13300,OMASTRAND,NO,,+60.217,+005.983
13320,FJAERLAND BREMUSEET,NO,,+61.430,+006.770
13331,EID-ON-NORDFJORD,NO,,+61.933,+006.100
13340,FJERLAND SKARESTAD,NO,,+61.433,+006.767
13360,BOMOEN,NO,,+60.639,+006.501
13370,VOSSEVANGEN,NO,,+60.633,+006.433
13380,VANGSNES,NO,,+61.167,+006.650
13390,VANGSNES,NO,,+61.167,+006.650
13400,FET I EIDFJORD,NO,,+60.420,+007.280
13410,EIDFJORD-BU,NO,,+60.467,+006.867
13420,ULLENSVANG,NO,,+60.317,+006.650
13421,ULLENSVANG FORSOKS,NO,,+60.317,+006.650
13440,MJOLFJELL,NO,,+60.700,+006.950
13450,KLEVAVATNET,NO,,+60.717,+007.217
13451,OLDEN-VANGBERG,NO,,+61.867,+006.750
13460,MIDTSTOVA,NO,,+60.650,+007.267
13470,SOGNDAL HAUKASEN,NO,,+61.156,+007.137
